question,answer
"What was the wettest month for KAIMUR (BHABUA), Bihar in 2021?","6.0 was the wettest month in KAIMUR (BHABUA), Bihar in 2021, with 9.12 mm average rainfall."
"How much rainfall did KAIMUR (BHABUA), Bihar receive on average in 2021?","KAIMUR (BHABUA), Bihar received an average rainfall of 3.13 mm in 2021."
"What was the wettest month for JEHANABAD, Bihar in 2021?","5.0 was the wettest month in JEHANABAD, Bihar in 2021, with 19.07 mm average rainfall."
"How much rainfall did JEHANABAD, Bihar receive on average in 2021?","JEHANABAD, Bihar received an average rainfall of 5.04 mm in 2021."
What was the average annual rainfall in Bihar in 2020?,The average annual rainfall in Bihar in 2020 was 4.84 mm (source: cleaned_limited_rainfall_data.csv / limited_rainfall_data_500_per_year.csv).
Which district had the highest average rainfall in Bihar in 2020?,KATIHAR had the highest average rainfall (6.50 mm) in Bihar in 2020.
"What was the wettest month for KHAGARIA, Bihar in 2020?","1.0 was the wettest month in KHAGARIA, Bihar in 2020, with 0.08 mm average rainfall."
"How much rainfall did KHAGARIA, Bihar receive on average in 2020?","KHAGARIA, Bihar received an average rainfall of 0.08 mm in 2020."
"What was the wettest month for MADHEPURA, Bihar in 2020?","7.0 was the wettest month in MADHEPURA, Bihar in 2020, with 24.79 mm average rainfall."
"How much rainfall did MADHEPURA, Bihar receive on average in 2020?","MADHEPURA, Bihar received an average rainfall of 5.43 mm in 2020."
What was the average annual rainfall in Chhattisgarh in 2020?,The average annual rainfall in Chhattisgarh in 2020 was 4.53 mm (source: cleaned_limited_rainfall_data.csv / limited_rainfall_data_500_per_year.csv).
Which district had the highest average rainfall in Chhattisgarh in 2020?,RAIGARH had the highest average rainfall (5.67 mm) in Chhattisgarh in 2020.
"What was the wettest month for SURGUJA, Chhattisgarh in 2020?","9.0 was the wettest month in SURGUJA, Chhattisgarh in 2020, with 7.15 mm average rainfall."
"How much rainfall did SURGUJA, Chhattisgarh receive on average in 2020?","SURGUJA, Chhattisgarh received an average rainfall of 1.34 mm in 2020."
"What was the wettest month for RAIGARH, Chhattisgarh in 2020?","6.0 was the wettest month in RAIGARH, Chhattisgarh in 2020, with 17.56 mm average rainfall."
"How much rainfall did RAIGARH, Chhattisgarh receive on average in 2020?","RAIGARH, Chhattisgarh received an average rainfall of 5.67 mm in 2020."
What was the average annual rainfall in Daman & Diu in 2020?,The average annual rainfall in Daman & Diu in 2020 was 8.43 mm (source: cleaned_limited_rainfall_data.csv / limited_rainfall_data_500_per_year.csv).
Which district had the highest average rainfall in Daman & Diu in 2020?,DIU had the highest average rainfall (11.97 mm) in Daman & Diu in 2020.
"What was the wettest month for DAMAN, Daman & Diu in 2020?","8.0 was the wettest month in DAMAN, Daman & Diu in 2020, with 26.94 mm average rainfall."
"How much rainfall did DAMAN, Daman & Diu receive on average in 2020?","DAMAN, Daman & Diu received an average rainfall of 6.09 mm in 2020."
"What was the wettest month for DIU, Daman & Diu in 2020?","7.0 was the wettest month in DIU, Daman & Diu in 2020, with 70.81 mm average rainfall."
"How much rainfall did DIU, Daman & Diu receive on average in 2020?","DIU, Daman & Diu received an average rainfall of 11.97 mm in 2020."
What was the average annual rainfall in Dadra & Nagar Haveli in 2020?,The average annual rainfall in Dadra & Nagar Haveli in 2020 was 4.38 mm (source: cleaned_limited_rainfall_data.csv / limited_rainfall_data_500_per_year.csv).
Which district had the highest average rainfall in Dadra & Nagar Haveli in 2020?,DADRA AND NAGAR HAVELI had the highest average rainfall (4.38 mm) in Dadra & Nagar Haveli in 2020.
"What was the wettest month for DADRA AND NAGAR HAVELI, Dadra & Nagar Haveli in 2020?","9.0 was the wettest month in DADRA AND NAGAR HAVELI, Dadra & Nagar Haveli in 2020, with 20.93 mm average rainfall."
"How much rainfall did DADRA AND NAGAR HAVELI, Dadra & Nagar Haveli receive on average in 2020?","DADRA AND NAGAR HAVELI, Dadra & Nagar Haveli received an average rainfall of 4.38 mm in 2020."
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Potato varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Potato varieties in 2005 was **6**. The total count is 6.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Potato varieties were certified in 2008? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Potato varieties in 2008 was **4**. The certified varieties are: **Kufri Himsona; Kufri Sadabahar; Kufri Girdhari; Kufri Khyati**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Potato varieties were certified in 2009? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Potato varieties in 2009 was **1**. The certified varieties are: **Kufri Frysona**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Watermelon varieties were certified in 2003? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Watermelon varieties in 2003 was **1**. The certified varieties are: **Durgapura Lal (RW 177-3)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Watermelon varieties were certified in 2007? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Watermelon varieties in 2007 was **1**. The certified varieties are: **Thar Manak**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Amaranthus varieties were certified in 2003? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Amaranthus varieties in 2003 was **2**. The certified varieties are: **Konkan; Durangi**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Ash Gourd varieties were certified in 2003? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Ash Gourd varieties in 2003 was **1**. The certified varieties are: **Pusa Ujwal (DAG-1)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Pumpkin varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Pumpkin varieties in 2004 was **1**. The certified varieties are: **Sooraj (CM-350)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Pumpkin varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Pumpkin varieties in 2005 was **1**. The certified varieties are: **NDPK-24**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Brinjal varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Brinjal varieties in 2004 was **5**. The total count is 5.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Brinjal varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Brinjal varieties in 2005 was **2**. The certified varieties are: **Kashi Prakash(IVBT-1); Swarna Shobha(HABR-4)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Mushmelon varieties were certified in 2004? List the varieties if the count is less than 5.","The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Mushmelon varieties in 2004 was **1**. The certified varieties are: **RM-50, MHY-5**."
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Snap Melon varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Snap Melon varieties in 2004 was **1**. The certified varieties are: **Pusa Shandar (DSM-1)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Spong Gourd varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Spong Gourd varieties in 2004 was **1**. The certified varieties are: **Pusa Sneha**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Spong Gourd varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Spong Gourd varieties in 2005 was **2**. The certified varieties are: **Swarna Prabha(CHSG-1); Gujarat Sponge Gourd-1(JSGL-55)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Cauliflower varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Cauliflower varieties in 2004 was **3**. The certified varieties are: **Pusa Sharad (sel-303-1-2); Pusa Meghna (DC/98-2); Pusa Snowball K-25 (Kt-25)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Cauliflower varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Cauliflower varieties in 2005 was **1**. The certified varieties are: **Kashi Kuwari(IVCE-2)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Vegetable Muskard varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Vegetable Muskard varieties in 2004 was **1**. The certified varieties are: **Pusa Saag-1 (MR-704)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Chilli varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Chilli varieties in 2004 was **1**. The certified varieties are: **Utkal Ava (BC-14-2)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Chilli varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Chilli varieties in 2005 was **5**. The total count is 5.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Chilli varieties were certified in 2007? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Chilli varieties in 2007 was **3**. The certified varieties are: **Arka; Arka aweta; Arka Meghana**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Cowpea varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Cowpea varieties in 2005 was **1**. The certified varieties are: **Kashi Shyamal(IVRCP-1)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Garlic varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Garlic varieties in 2004 was **1**. The certified varieties are: **VL Garlic -1 (VLG-7)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Garlic varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Garlic varieties in 2005 was **1**. The certified varieties are: **Jamuna Safed-4(G-323)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Garlic varieties were certified in 2009? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Garlic varieties in 2009 was **1**. The certified varieties are: **Bhima Omkar**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Okra varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Okra varieties in 2005 was **2**. The certified varieties are: **Kashi Pragati(VRO-6); Kashi Vibhuti(VRO-5)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Okra Hybrid varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Okra Hybrid varieties in 2005 was **2**. The certified varieties are: **HBH-142; Kashi Bhairo (DVR-3)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Cucumber varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Cucumber varieties in 2004 was **1**. The certified varieties are: **Swarna Poona (CH-20)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Onion varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Onion varieties in 2004 was **1**. The certified varieties are: **RO-1(Rajasthan Onion-1)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Onion varieties were certified in 2009? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Onion varieties in 2009 was **1**. The certified varieties are: **Bhima Red**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Tomato varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Tomato varieties in 2004 was **4**. The certified varieties are: **Sankranthi (TLB-11); Nandi (TLB-130); Vybhat (TLB-182); Swaprna Baibhay(CHTH-1)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Tomato varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Tomato varieties in 2005 was **3**. The certified varieties are: **Kashi Hemant (IIVR Sel-1); Kashi Sharad(IIVR Sel-2); Kashi Vishesh (H-86)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Tomato Hyb. varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Tomato Hyb. varieties in 2005 was **1**. The certified varieties are: **Arka Ananya (TLBRH-9)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Pea varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Pea varieties in 2004 was **3**. The certified varieties are: **Sankranthi (TLB-11); Nandi (TLB-130); Vybhat (TLB-182)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Pea varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Pea varieties in 2005 was **2**. The certified varieties are: **Kashi Nandini(VRP-5); Narendra Subzi Matar-6**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Khejri varieties were certified in 2007? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Khejri varieties in 2007 was **1**. The certified varieties are: **Thar Shobha**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Bottle Gourd varieties were certified in 2007? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Bottle Gourd varieties in 2007 was **1**. The certified varieties are: **Thar Samridhi**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct French Bean varieties were certified in 2008? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified French Bean varieties in 2008 was **1**. The certified varieties are: **Arka Anoop**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Garden Pea varieties were certified in 2007? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Garden Pea varieties in 2007 was **2**. The certified varieties are: **Arka Karthik; Arka Sampoorna**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Carrot varieties were certified in 2007? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Carrot varieties in 2007 was **1**. The certified varieties are: **Arka Suraj**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Cashew-Nut varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Cashew-Nut varieties in 2005 was **1**. The certified varieties are: **Bhaskar**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Cashew-Nut varieties were certified in 2007? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Cashew-Nut varieties in 2007 was **3**. The certified varieties are: **Chintamani-2; VRI(CW)-5; Goa-2**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Coconut (Palms) varieties were certified in 2002? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Coconut (Palms) varieties in 2002 was **2**. The certified varieties are: **Coconut; Arasam-patti Tall/ Aliyar nagar-1**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Coconut (Palms) varieties were certified in 2008? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Coconut (Palms) varieties in 2008 was **4**. The certified varieties are: **Kalpa Pratibha; Kalpa Mitra; Kalpa Dhenu; Kalparaksha**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Turmeric varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Turmeric varieties in 2004 was **2**. The certified varieties are: **IISR Kedaram IISR; Alleppey Supreme**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Turmeric varieties were certified in 2006? List the varieties if the count is less than 5.","The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Turmeric varieties in 2006 was **2**. The certified varieties are: **IISR, Kedaram; IISR Alleppey Supreme**."
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Ginger varieties were certified in 2002? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Ginger varieties in 2002 was **2**. The certified varieties are: **IISR Rejatha; IISR Mahima**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Ginger varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Ginger varieties in 2005 was **2**. The certified varieties are: **IISR Nahima; IISR Rajitha**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Nutmeg varieties were certified in 2002? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Nutmeg varieties in 2002 was **1**. The certified varieties are: **IISR Viswashree**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Nutmeg varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Nutmeg varieties in 2005 was **1**. The certified varieties are: **IISR Viswashree**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Ajowan varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Ajowan varieties in 2004 was **4**. The certified varieties are: **Ajmer Ajowan-1; (AA-1); Ajmer Ajowan-2; (AA-2)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Dill varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Dill varieties in 2004 was **2**. The certified varieties are: **Ajmer Dill-1 (AD-1); Ajmer Dill-2(AD-2)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Dill varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Dill varieties in 2005 was **2**. The certified varieties are: **NRCSS AD -1; NRCSS AD- 2**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Nigella varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Nigella varieties in 2004 was **1**. The certified varieties are: **Ajmer Nigella-1(AN-1)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Nigella varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Nigella varieties in 2005 was **3**. The certified varieties are: **NRCSS AA-1; NRCSS AA-2; NRCSS AN-1**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Fennel varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Fennel varieties in 2004 was **2**. The certified varieties are: **Hisar Swarup; Gujrat fennel-11**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Fennel varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Fennel varieties in 2005 was **1**. The certified varieties are: **NRCSS AF 1**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Fennel varieties were certified in 2006? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Fennel varieties in 2006 was **1**. The certified varieties are: **RF-178 (UfF-178)**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Fennel varieties were certified in 2007? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Fennel varieties in 2007 was **2**. The certified varieties are: **RF-178; RF-143**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Fenugreek varieties were certified in 2004? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Fenugreek varieties in 2004 was **1**. The certified varieties are: **RMt. 305**.
"What was the average daily rainfall in Andaman & Nicobar during the year 2022, and how many distinct Fenugreek varieties were certified in 2005? List the varieties if the count is less than 5.",The average daily rainfall in Andaman & Nicobar in 2022 was **0.0 mm**. The number of certified Fenugreek varieties in 2005 was **2**. The certified varieties are: **NRCSS AM 1; NRCSS AM 2**.
